FA_wecs,D_wecs,FA_taad,D_taad,FA_ecs,D_ecs
0.999999561586758,1,0.999999561586758,1,0.999999561586758,1
0.997004322316155,0.9998662803655,0.999227515867271,0.999661243592601,0.946352248380392,0.98796523289503
0.993998561127739,0.999741475373301,0.99024135964222,0.997940717628705,0.893179298302069,0.97589480722086
0.991038394916511,0.999589926454201,0.953949949867446,0.987457098283931,0.840527183155462,0.964216625807889
0.988028249595673,0.999456206819701,0.869697885050678,0.952476041898819,0.788959263956776,0.952484956541119
0.985131653304562,0.999340316469802,0.733976105601475,0.883637174058391,0.738138839336014,0.940432360151549
0.982136414033959,0.999179852908402,0.570881995376494,0.782946289280143,0.688811650218133,0.928290617338979
0.979199922137808,0.999046133273902,0.414724897882596,0.662224203253844,0.640971997230982,0.916434143080009
0.976227041942556,0.998930242924003,0.289249712729723,0.539184310229552,0.594726853205656,0.904497437040339
0.973319046907148,0.998805437931803,0.199275478275966,0.426645865834633,0.550632564546486,0.893131268107867
0.97036501848131,0.998636059728103,0.140248396174757,0.332605304212168,0.508315603171131,0.881533318475596
0.96733426773809,0.998413193670604,0.103996882005022,0.258595943837754,0.468535300815054,0.870140405616225
0.96416497841034,0.998261644751504,0.0819455727496358,0.202772453755293,0.43110182454439,0.858123467795855
0.960846628580247,0.998029864051705,0.0686932172648888,0.160303097838199,0.395827971904726,0.846980164920883
0.957372203635936,0.997798083351905,0.0606360587000258,0.127515043458881,0.362604577998758,0.835658569199911
0.95369391653401,0.997548473367506,0.0556258721683437,0.100316469801649,0.331728887004686,0.824381546690439
0.949945044900092,0.997325607310007,0.0523158521898522,0.0785379986628037,0.303004928203255,0.813371963449967
0.945869116987505,0.997004680187207,0.0500198820405331,0.0617428125696456,0.276719862268096,0.802193002005794
0.94157091356113,0.996665923779808,0.0483254148594907,0.0475328727434812,0.25236030729261,0.790996211277022
0.936906196664289,0.996434143080009,0.0468619914570796,0.0352930688656118,0.230084530457226,0.77985290840205
0.931829809733037,0.99611321595721,0.0454314490478322,0.0262268776465344,0.209930673714013,0.768433251615779
0.926459685929522,0.995774459549811,0.0438115121179612,0.0192912859371518,0.191400699619852,0.756844216625808
0.920679207331322,0.995498105638511,0.0418255001308664,0.0139514151994651,0.174755464053841,0.745816804100735
0.914265221598165,0.995168263873412,0.0393076928810019,0.0101359482950747,0.15961573956149,0.734218854468464
0.907387394654778,0.994847336750613,0.0362523909962196,0.00736349453978159,0.146020106508113,0.722620904836193
0.899779171249912,0.994588812123913,0.0328283835747602,0.00539335859148652,0.133652907359336,0.710496991308224
0.89168211708001,0.994312458212614,0.0291154618267014,0.0040383329618899,0.122576835208792,0.698649431691553
0.882732787567302,0.993902384666815,0.0252398887657922,0.00305772230889236,0.112645460033591,0.687238689547582
0.872994314218662,0.993652774682416,0.0215344200428505,0.00222866057499443,0.103672456205805,0.674740361043013
0.862446091611708,0.993224871852017,0.0180845462401023,0.0017205259638957,0.0955622496386379,0.663053264987742
0.851222274198548,0.992832627590818,0.0150551107366088,0.00122130599509695,0.088192961450762,0.650296411856474
0.838908123052075,0.992324492979719,0.0123882429844017,0.000953866726097615,0.0815895811969821,0.638154669043905
0.825651383434906,0.991700468018721,0.0101356757460588,0.000775573880098061,0.0755833197790573,0.625781145531536
0.811190761054699,0.991147760196122,0.00825225245763503,0.000588366391798529,0.0701456803362454,0.613211499888567
0.795800702601062,0.990505905950524,0.00670377688624009,0.000481390684198797,0.0653007755968667,0.600356585691999
0.779386510813682,0.989748161355026,0.00548542648620993,0.000347671049699131,0.0608368519649462,0.587430354357031
0.761827183637716,0.988651660352128,0.00447707602918605,0.000267439268999331,0.0567381265637652,0.575163806552262
0.743136311883673,0.987617561845331,0.00368047916813718,0.000222866057499443,0.0530247664024642,0.562246489859594
0.723298112674834,0.986244706931134,0.0030487256861496,0.000169378203699577,0.0495288592092866,0.548803209271228
0.70234502859112,0.984880766659238,0.00256077174759848,0.000142634276799643,0.0464454988770045,0.535591709382661
0.680378771504718,0.983588143525741,0.00214822488670306,8.02317806997994e-05,0.0435519714785881,0.522255404501894
0.657482639931643,0.981778471138846,0.00182730639342415,6.2402496099844e-05,0.0408815964204436,0.509213282817027
0.633745631760058,0.98013817695565,0.00154759874491057,4.45732114998886e-05,0.0383523904262823,0.495778916870961
0.609235262629261,0.978194784934254,0.0013262000576075,3.56585691999109e-05,0.0360388837472758,0.482415868063294
0.583864726717297,0.97611767327836,0.00116091826530402,3.56585691999109e-05,0.033860408346862,0.468865611767328
0.557972917460377,0.973987073768665,0.00101185776296136,2.67439268999331e-05,0.0318441458460565,0.455591709382661
0.53175449033803,0.971571205705371,0.000888225228665387,8.91464229997771e-06,0.0300199083453276,0.441934477379095
0.505321679140254,0.968433251615779,0.000771607306244364,8.91464229997771e-06,0.0282649401368638,0.428303989302429
0.478809953558885,0.965420102518387,0.000670333847299791,8.91464229997771e-06,0.0266327276362117,0.413844439491865
0.452378457600836,0.962406953420994,0.000592296290190986,8.91464229997771e-06,0.0251031038342307,0.399910853577
0.426257358218254,0.959260084689102,0.00052434223765242,8.91464229997771e-06,0.0236681772925615,0.386200133719635
0.400400622020708,0.955489190996211,0.00046822534265283,0,0.0222779689015951,0.37187430354357
0.375423342786984,0.951531089815021,0.000412985274137608,0,0.0210315600540651,0.357646534432806
0.351117274227045,0.947778025406731,0.000370020776403547,0,0.0198373223823551,0.34394472921774
0.32757492153499,0.943570314241141,0.000334947717028803,0,0.0186575523476371,0.329957655449075
0.305191295042028,0.939460664140851,0.000302066723864981,0,0.0175816862513169,0.315480276353911
0.284110194291597,0.934370403387564,0.000273131449880817,0,0.0165444005203088,0.301377312235347
0.264273748735726,0.929164252284377,0.000247265068591944,0,0.0155680542299644,0.28785379986628
0.24573281431051,0.923236015154892,0.000218768207849964,0,0.0145684720377842,0.273403164698017
0.228545699977159,0.916496545576109,0.000192463413318907,0,0.0136679712383377,0.259460664140851
0.212726434959423,0.909596612435926,0.00017755736308464,0,0.0127687856786177,0.245375529306887
0.198115875250389,0.901974593269445,0.000157390353944163,0,0.0118902055412803,0.23200356585692
0.184580743224433,0.893363048807667,0.000145553196405187,0,0.0110896629610518,0.218480053487854
0.172206967877023,0.88394918653889,0.000125824600506893,0,0.0102772832232843,0.205527078225986
0.160829705829099,0.873162469355917,0.00011530268269447,0,0.00953987214993031,0.192306663695119
0.150274907023512,0.862036995765545,0.000103903938397679,0,0.00882788904462302,0.17987073768665
0.140491715524169,0.849208825495877,8.9874714647781e-05,0,0.00814922534572172,0.167220860262982
0.131389818203181,0.835105861377312,8.06680365619107e-05,0,0.00745609400982835,0.154579897481614
0.123007357012617,0.819523066636951,6.75156392963818e-05,0,0.00680461193194248,0.142420325384444
0.115139154555136,0.803637174058391,4.95406963668256e-05,0,0.00618381878100952,0.130982839313573
0.107667716081831,0.785968353019835,3.6826712343481e-05,0,0.00559415297027164,0.119260084689102
0.100641267049343,0.767167372409182,2.45511415623207e-05,0,0.00502596940840079,0.109079563182527
0.0939181999804468,0.746128816581235,1.53444634764504e-05,0,0.00448233698809226,0.097998662803655
0.0875384104801809,0.72392244261199,1.00835045702388e-05,0,0.00397640810661158,0.0875507020280811
0.0813624831375307,0.700271896590149,8.76826484368595e-06,0,0.00351914309501336,0.0782973033207043
0.075411461788121,0.677468241586806,7.89143835931736e-06,0,0.00305574029802455,0.0693915756630265
0.0697410249137093,0.653407622019166,5.26095890621157e-06,0,0.002635740412012,0.0607532872743481
0.0642630514526165,0.626877646534433,3.94571917965868e-06,0,0.00225651295752258,0.0532382438154669
0.0589959547610144,0.5999375975039,3.06889269529008e-06,0,0.00191674269482975,0.0455538221528861
0.0538406534461692,0.57184755961667,1.75365296873719e-06,0,0.00161423755772258,0.0387519500780031
0.0488243291290965,0.543516826387341,1.31523972655289e-06,0,0.00133058419002934,0.0328682861600178
0.0439443513303431,0.513617116113216,1.31523972655289e-06,0,0.00109647151870293,0.0275551593492311
0.0391560018992062,0.482094940940495,8.76826484368595e-07,0,0.000887348402181018,0.0227145085803432
0.0345618695343569,0.448923556942278,4.38413242184298e-07,0,0.000711983105307299,0.0186137731223535
0.0301119751261863,0.414700245152663,4.38413242184298e-07,0,0.000554154338120952,0.014789391575663
0.0259439804327402,0.380566079786049,4.38413242184298e-07,0,0.000418684646286004,0.0113572542901716
0.0219877393352691,0.345246266993537,4.38413242184298e-07,0,0.000323987385974196,0.00893247158457767
0.0182581578840073,0.308500111433029,4.38413242184298e-07,0,0.000231043778631125,0.00686427457098284
0.0147784719807905,0.266850902607533,4.38413242184298e-07,0,0.000166597032030033,0.00484956541118788
0.0115907692968685,0.225388901270337,4.38413242184298e-07,0,0.000118809988631945,0.00342322264319144
0.00861920434134329,0.186895475819033,4.38413242184298e-07,0,8.32985160150165e-05,0.00231780699799421
0.00603519669190904,0.149257856028527,4.38413242184298e-07,0,5.65553082417744e-05,0.00153331847559617
0.00390450833489335,0.111709382661021,4.38413242184298e-07,0,3.55114726169281e-05,0.000971696010697571
0.00234551084568599,0.077182973033207,4.38413242184298e-07,0,2.23590753513992e-05,0.00062402496099844
0.0012814819069047,0.0493782036995766,4.38413242184298e-07,0,1.57828767186347e-05,0.000401158903498997
0.000588788984253512,0.0283129039447292,4.38413242184298e-07,0,8.32985160150165e-06,0.000222866057499443
0.00022753647269365,0.0134076220191665,4.38413242184298e-07,0,4.82254566402727e-06,0.00011589034989971
7.54070776556992e-05,0.00501894361488745,4.38413242184298e-07,0,2.19206621092149e-06,6.2402496099844e-05
1.79749429295562e-05,0.00174726989079563,4.38413242184298e-07,0,4.38413242184298e-07,5.34878537998663e-05
0,0.000285268553599287,4.38413242184298e-07,0,4.38413242184298e-07,1.78292845999554e-05
0,0,0,0,0,0
